Car ID	Make	Make (Full Name)	Model	Model (Full Name)	Manufacture Year	Age	Miles	Miles / Year	Color	Driver	Warantee Miles	Covered?	New Car ID
TY12CAM029	TY	Toyota	CAM	Camry	12	11	"64,542.00 "	5612.35 	Blue	Smith	75000	Y	TY12CAMBLU029
HO99CIV030	HO	Honda	CIV	Civic	99	1	"29,601.90 "	19734.60 	Black	Santos	100000	Y	HO99CIVBLA030
HO01CIV031	HO	Honda	CIV	Civic	01	22	"31,144.40 "	1384.20 	Black	Hulinski	100000	Y	HO01CIVBLA031
HO10CIV032	HO	Honda	CIV	Civic	10	13	"36,438.50 "	2699.15 	White	Smith	50000	Y	HO10CIVWHI032
HO10CIV033	HO	Honda	CIV	Civic	10	13	"27,637.10 "	2047.19 	Black	Smith	75000	Y	HO10CIVBLA033
HO11CIV034	HO	Honda	CIV	Civic	11	12	"22,282.00 "	1782.56 	Blue	McCall	100000	Y	HO11CIVBLU034
HO12CIV035	HO	Honda	CIV	Civic	12	11	"27,394.20 "	2382.10 	Black	Vizzini	75000	Y	HO12CIVBLA035
HO13CIV036	HO	Honda	CIV	Civic	13	10	"50,854.10 "	4843.25 	Black	Swartz	100000	Y	HO13CIVBLA036
HO05ODY037	HO	Honda	ODY	Odyssey	05	18	"22,521.60 "	1217.38 	Black	Vizzini	75000	Y	HO05ODYBLA037
HO07ODY038	HO	Honda	ODY	Odyssey	07	16	"29,102.30 "	1763.78 	Black	Torrens	100000	Y	HO07ODYBLA038
HO08ODY039	HO	Honda	ODY	Odyssey	08	15	"20,223.90 "	1304.77 	Black	Praulty	100000	Y	HO08ODYBLA039
HO01ODY040	HO	Honda	ODY	Odyssey	01	22	"40,326.80 "	1792.30 	Black	Smith	50000	Y	HO01ODYBLA040
HO14ODY041	HO	Honda	ODY	Odyssey	14	9	"35,137.00 "	3698.63 	Black	Howard	75000	Y	HO14ODYBLA041
CR04PTC042	CR	Chrysler	PTC	PT Cruiser	04	19	"24,513.20 "	1257.09 	Black	Hulinski	75000	Y	CR04PTCBLA042
CR07PTC043	CR	Chrysler	PTC	PT Cruiser	07	16	"22,128.20 "	1341.10 	Blue	Chan	100000	Y	CR07PTCBLU043
CR11PTC044	CR	Chrysler	PTC	PT Cruiser	11	12	"28,464.80 "	2277.18 	White	Santos	100000	Y	CR11PTCWHI044
CR99CAR045	CR	Chrysler	CAR	Caravan	99	1	"19,421.10 "	12947.40 	Black	Bard	100000	Y	CR99CARBLA045
CR00CAR046	CR	Chrysler	CAR	Caravan	00	23	"13,867.60 "	590.11 	Black	Chan	75000	Y	CR00CARBLA046
CR04CAR047	CR	Chrysler	CAR	Caravan	04	19	"22,573.00 "	1157.59 	Blue	Torrens	75000	Y	CR04CARBLU047
CR04CAR048	CR	Chrysler	CAR	Caravan	04	19	"19,341.70 "	991.88 	White	Yousef	75000	Y	CR04CARWHI048
HY11ELA049	HY	Hyundai	ELA	Elentra	11	12	"17,556.30 "	1404.50 	Blue	Praulty	100000	Y	HY11ELABLU049
HY12ELA050	HY	Hyundai	ELA	Elentra	12	11	"13,682.90 "	1189.82 	Black	Rodriguez	75000	Y	HY12ELABLA050
HY13ELA051	HY	Hyundai	ELA	Elentra	13	10	"14,289.60 "	1360.91 	White	Torrens	100000	Y	HY13ELAWHI051
HY13ELA052	HY	Hyundai	ELA	Elentra	13	10	"3,708.10 "	353.15 	Black	McCall	100000	Y	HY13ELABLA052
													
													
													
	CR	Chrysler	CAM	Camry									
	FD	Ford	CAR	Caravan									
	GM	General Motors	CIV	Civic									
	HO	Honda	CMR	Camero									
	HY	Hyundai	COR	Corola									
	TY	Toyota	ELA	Elentra									
			FCS	Focus									
			MTG	Mustang									
			ODY	Odyssey									
			PTC	PT Cruiser									
			SLV	Silverado									
